Board,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBName,JobName,PCBID,MasterBarcode,InspectionDate,InspectionStartTime,InspectionEndTime,InspectionTestTime,PCBResult,TotalBadMarkPanelCnt,TotalPadCnt,TotalArrayCnt,TotalPanelCnt,GoodPadCnt,BadPadCnt,FalseCallPadCnt,BadMarkPadCnt,Lane,Side,Unit,Squeegee,VolumeMIN,VolumeMAX,VolumeAVG,HeightMIN,HeightMAX,HeightAVG,AreaMIN
400402-062631-1-T-GW00182-V0,D:\JOB\A29\080001-060429&080005-030406&080004-110405 -BT-V0\080001-060429&080005-030406&080004-110405 -T-V0\080001-060429+080005-030406+080004-110405-T-V0\080001-060429+080005-030406+080004-110405-T-V0 - Copy.mdb,71860,YJM261608014A01333,2026/1/6,0:11:22,11:22:33,6.63,GOOD,0,690,1,1,620,0,0,0,1,Top,um&mm,0,0,133.14294,92.43385,0,149.70204,92.02171,0
Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArrayBarcode,PanelBadMark,PanelResult,PanelPadCnt,PanelGoodPadCnt,PanelBadPadCnt,PanelNo,PanelInspectionDate,PanelInspectionStartTime,PanelInspectionEndTime,PanelInspectionTestTime,PanelVolumeMIN,PanelVolumeMAX,PanelVolumeAVG,PanelHeightMIN,PanelHeightMAX,PanelHeightAVG,PanelAreaMIN,PanelAreaMAX,PanelAreaAVG,PanelOffsetXMIN,PanelOffsetXMAX,PanelOffsetXAVG,PanelOffsetYMIN,PanelOffsetYMAX,PanelOffsetYAVG,PanelLotInfo,PanelPCBName
YJM261608014A01333999,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333998,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333997,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333996,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333995,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333994,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333993,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333992,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333991,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
YJM261608014A01333990,NormalPanel,GOOD,620,620,0,1,2026/5/5,10:44:51,12:44:58,6.63,0,133.14294,102.8699215,0,149.70204,102.4112457,0,115.23328,101.9932025,-0.05791,0.04284,0.000833097,-0.01978,0.01456,-0.000671435,,400999-062999-1-B-GW00182-V0
